Student_ID,Student_Name,Branch,CGPA,Skills,Company,Salary_LPA,Placement_Status,Year
STU0001,Student 0001,EEE,8.11,C++,Not Placed,0.0,Not Placed,2025
STU0002,Student 0002,ECE,7.0,"JavaScript, Excel, Python, C++",Not Placed,0.0,Not Placed,2024
STU0003,Student 0003,CSE,9.78,"SQL, AutoCAD, C++, Data Analysis",Accenture,8.91,Placed,2026
STU0004,Student 0004,CIVIL,5.79,"AutoCAD, JavaScript, React, Python",Not Placed,0.0,Not Placed,2023
STU0005,Student 0005,ECE,7.79,"Java, Python, C++",TCS,7.3,Placed,2023
STU0006,Student 0006,EEE,8.64,"Python, Java",Cognizant,5.9,Placed,2024
STU0007,Student 0007,ISE,6.3,"Excel, AWS, AutoCAD",Not Placed,0.0,Not Placed,2023
STU0008,Student 0008,ME,6.23,"React, Machine Learning, AutoCAD",Accenture,5.34,Placed,2025
STU0009,Student 0009,CIVIL,7.68,"JavaScript, React, AWS, Excel",Capgemini,7.71,Placed,2022
STU0010,Student 0010,ECE,6.96,C++,Infosys,5.12,Placed,2022
STU0011,Student 0011,EEE,8.82,"C++, React, JavaScript",Not Placed,0.0,Not Placed,2024
STU0012,Student 0012,ME,9.22,"Excel, JavaScript",Microsoft,18.32,Placed,2025
STU0013,Student 0013,ECE,9.34,"SQL, Data Analysis, C++",Capgemini,6.67,Placed,2023
STU0014,Student 0014,ME,6.26,"Machine Learning, SQL, C++, React",Not Placed,0.0,Not Placed,2025
STU0015,Student 0015,CSE,7.6,"Data Analysis, C++, Java, React",Amazon,14.02,Placed,2025
STU0016,Student 0016,ECE,5.56,"Machine Learning, Python, AutoCAD",Not Placed,0.0,Not Placed,2023
STU0017,Student 0017,CIVIL,8.14,Java,Google,18.25,Placed,2026
STU0018,Student 0018,ISE,6.78,Java,Wipro,5.17,Placed,2023
STU0019,Student 0019,ME,9.43,"SQL, JavaScript, C++, Java",Oracle,11.1,Placed,2026
STU0020,Student 0020,EEE,6.52,"SQL, AutoCAD, C++, Excel",Google,16.46,Placed,2025
STU0021,Student 0021,ISE,9.04,"Data Analysis, Excel, C++",Accenture,8.63,Placed,2022
STU0022,Student 0022,ECE,8.16,"AWS, C++, Data Analysis",Wipro,5.97,Placed,2023
STU0023,Student 0023,EEE,6.87,Excel,Not Placed,0.0,Not Placed,2022
STU0024,Student 0024,CSE,6.27,"Data Analysis, Excel, JavaScript",Not Placed,0.0,Not Placed,2022
STU0025,Student 0025,CIVIL,7.96,"Excel, SQL, Java, Machine Learning",Microsoft,26.59,Placed,2025
STU0026,Student 0026,CIVIL,6.92,"React, SQL, Data Analysis, Python",Tech Mahindra,5.2,Placed,2024
STU0027,Student 0027,EEE,9.4,"AutoCAD, Data Analysis, Python, SQL",TCS,6.19,Placed,2025
STU0028,Student 0028,ME,7.53,"Machine Learning, AWS, JavaScript, Java",Not Placed,0.0,Not Placed,2023
STU0029,Student 0029,ISE,8.03,Machine Learning,Capgemini,7.16,Placed,2025
STU0030,Student 0030,ISE,8.2,"SQL, Excel, React, AutoCAD",Wipro,5.34,Placed,2022
STU0031,Student 0031,ME,7.5,Python,Amazon,10.69,Placed,2023
STU0032,Student 0032,CIVIL,6.02,C++,Infosys,4.79,Placed,2025
STU0033,Student 0033,ME,6.15,"Machine Learning, C++",Not Placed,0.0,Not Placed,2024
STU0034,Student 0034,EEE,8.34,"Data Analysis, AutoCAD, Java",IBM,11.12,Placed,2024
STU0035,Student 0035,EEE,7.11,React,Not Placed,0.0,Not Placed,2025
STU0036,Student 0036,CIVIL,8.44,"Excel, C++",Wipro,5.18,Placed,2023
STU0037,Student 0037,EEE,9.43,React,Capgemini,6.44,Placed,2022
STU0038,Student 0038,EEE,7.55,Python,Wipro,4.14,Placed,2022
STU0039,Student 0039,CIVIL,6.16,"AWS, Data Analysis, JavaScript, AutoCAD",Not Placed,0.0,Not Placed,2024
STU0040,Student 0040,CIVIL,7.62,"Python, Java, SQL",Microsoft,25.69,Placed,2022
STU0041,Student 0041,EEE,8.62,React,Capgemini,8.0,Placed,2022
STU0042,Student 0042,ECE,9.29,"AutoCAD, React, AWS",TCS,6.58,Placed,2026
STU0043,Student 0043,ECE,6.14,AutoCAD,Not Placed,0.0,Not Placed,2026
STU0044,Student 0044,ECE,9.36,SQL,TCS,5.39,Placed,2025
STU0045,Student 0045,ME,8.59,AutoCAD,TCS,4.57,Placed,2022
STU0046,Student 0046,CSE,8.2,SQL,Accenture,7.49,Placed,2023
STU0047,Student 0047,ME,9.16,Machine Learning,IBM,9.2,Placed,2023
STU0048,Student 0048,EEE,5.64,"React, C++, AWS, Java",Not Placed,0.0,Not Placed,2025
STU0049,Student 0049,ISE,8.06,"AutoCAD, Data Analysis, Excel, JavaScript",Not Placed,0.0,Not Placed,2022
STU0050,Student 0050,ISE,9.81,JavaScript,Amazon,19.04,Placed,2025
STU0051,Student 0051,ISE,6.7,"AutoCAD, C++",Bosch,11.2,Placed,2026
STU0052,Student 0052,CSE,7.97,"JavaScript, AutoCAD",Bosch,7.23,Placed,2026
STU0053,Student 0053,EEE,7.48,SQL,TCS,4.38,Placed,2022
STU0054,Student 0054,EEE,6.89,"AWS, SQL, Excel, Python",Wipro,6.95,Placed,2023
STU0055,Student 0055,CIVIL,5.76,"C++, JavaScript, SQL, AWS",Not Placed,0.0,Not Placed,2022
STU0056,Student 0056,CSE,8.86,"Machine Learning, React",Amazon,22.97,Placed,2026
STU0057,Student 0057,ME,5.86,"Machine Learning, Java, Data Analysis, Python",Not Placed,0.0,Not Placed,2025
STU0058,Student 0058,ECE,8.6,"AutoCAD, Excel, JavaScript",Not Placed,0.0,Not Placed,2024
STU0059,Student 0059,EEE,6.05,"Python, C++, Data Analysis",Tech Mahindra,4.22,Placed,2025
STU0060,Student 0060,ISE,7.01,Machine Learning,Not Placed,0.0,Not Placed,2022
STU0061,Student 0061,ECE,7.83,"SQL, AWS, Data Analysis, JavaScript",Not Placed,0.0,Not Placed,2022
STU0062,Student 0062,CIVIL,6.23,"React, AWS",Capgemini,7.72,Placed,2022
STU0063,Student 0063,CSE,9.99,C++,Oracle,16.79,Placed,2025
STU0064,Student 0064,CSE,9.18,"JavaScript, React, Machine Learning",Deloitte,13.41,Placed,2026
STU0065,Student 0065,CIVIL,7.54,"React, SQL",Infosys,6.83,Placed,2022
STU0066,Student 0066,ME,7.21,"Machine Learning, Excel, JavaScript",IBM,6.15,Placed,2025
STU0067,Student 0067,CSE,9.05,"C++, JavaScript, React",Not Placed,0.0,Not Placed,2026
STU0068,Student 0068,EEE,6.16,"Java, C++",Not Placed,0.0,Not Placed,2023
STU0069,Student 0069,ECE,7.32,"Data Analysis, Python, AWS, AutoCAD",Deloitte,8.31,Placed,2023
STU0070,Student 0070,ISE,9.37,"Machine Learning, AutoCAD, Excel",Deloitte,10.25,Placed,2025
STU0071,Student 0071,CIVIL,6.68,"JavaScript, C++, SQL, Excel",Microsoft,27.88,Placed,2022
STU0072,Student 0072,ISE,6.72,"Python, C++",Not Placed,0.0,Not Placed,2026
STU0073,Student 0073,ISE,9.2,JavaScript,Oracle,8.87,Placed,2024
STU0074,Student 0074,ME,8.99,Python,Not Placed,0.0,Not Placed,2025
STU0075,Student 0075,ME,5.63,"C++, Java, Python",IBM,11.52,Placed,2026
STU0076,Student 0076,ISE,5.8,"Data Analysis, Machine Learning, Excel, React",Not Placed,0.0,Not Placed,2022
STU0077,Student 0077,ECE,8.94,C++,Wipro,5.95,Placed,2025
STU0078,Student 0078,EEE,6.78,React,Cognizant,7.21,Placed,2023
STU0079,Student 0079,EEE,7.4,C++,Microsoft,32.88,Placed,2023
STU0080,Student 0080,EEE,7.34,"React, Machine Learning, C++",Capgemini,7.15,Placed,2023
STU0081,Student 0081,ECE,8.54,"C++, JavaScript, SQL, Machine Learning",Bosch,12.24,Placed,2025
STU0082,Student 0082,EEE,7.68,"Machine Learning, React, Data Analysis",Infosys,8.21,Placed,2022
STU0083,Student 0083,CSE,6.51,Data Analysis,L&T,8.7,Placed,2026
STU0084,Student 0084,ME,8.97,"Excel, SQL, JavaScript",Cognizant,5.18,Placed,2024
STU0085,Student 0085,ME,7.83,"JavaScript, C++",Not Placed,0.0,Not Placed,2025
STU0086,Student 0086,ME,9.01,"Excel, C++, AutoCAD, AWS",Google,24.14,Placed,2023
STU0087,Student 0087,ECE,8.37,"Data Analysis, JavaScript, Machine Learning, C++",Not Placed,0.0,Not Placed,2023
STU0088,Student 0088,CIVIL,8.4,React,Not Placed,0.0,Not Placed,2024
STU0089,Student 0089,EEE,8.63,SQL,Capgemini,6.24,Placed,2026
STU0090,Student 0090,ECE,7.65,Java,Not Placed,0.0,Not Placed,2025
STU0091,Student 0091,EEE,8.46,"Machine Learning, AutoCAD",TCS,6.57,Placed,2025
STU0092,Student 0092,EEE,6.07,"C++, AWS",Cognizant,5.86,Placed,2023
STU0093,Student 0093,ISE,5.62,"Machine Learning, AutoCAD, SQL, Java",Not Placed,0.0,Not Placed,2026
STU0094,Student 0094,EEE,6.65,"Python, Java, SQL",Not Placed,0.0,Not Placed,2022
STU0095,Student 0095,ECE,7.17,"Python, AWS, JavaScript, C++",Not Placed,0.0,Not Placed,2025
STU0096,Student 0096,ME,7.75,"JavaScript, AutoCAD, AWS, Java",Deloitte,10.43,Placed,2022
STU0097,Student 0097,EEE,6.78,"AWS, JavaScript, SQL, Excel",Infosys,5.94,Placed,2024
STU0098,Student 0098,ECE,8.79,"AutoCAD, Excel, C++, Python",Oracle,14.22,Placed,2026
STU0099,Student 0099,CIVIL,8.5,"Java, Machine Learning, SQL",Amazon,13.21,Placed,2023
STU0100,Student 0100,CSE,6.87,"Excel, C++, AutoCAD, AWS",Not Placed,0.0,Not Placed,2023
STU0101,Student 0101,ME,6.35,"SQL, Excel",Wipro,6.52,Placed,2024
STU0102,Student 0102,ECE,8.42,"C++, Java, JavaScript",Cognizant,5.93,Placed,2026
STU0103,Student 0103,EEE,9.54,"SQL, Python, Machine Learning",Deloitte,10.54,Placed,2022
STU0104,Student 0104,CIVIL,5.98,"Excel, Data Analysis, SQL, AutoCAD",Deloitte,11.37,Placed,2023
STU0105,Student 0105,ISE,7.56,"React, Excel",Not Placed,0.0,Not Placed,2023
STU0106,Student 0106,ISE,7.97,"JavaScript, AWS, Java, Excel",Microsoft,34.3,Placed,2025
STU0107,Student 0107,EEE,6.51,Data Analysis,Infosys,7.14,Placed,2023
STU0108,Student 0108,ISE,7.07,"Python, C++, React",Not Placed,0.0,Not Placed,2022
STU0109,Student 0109,CSE,7.74,AutoCAD,Capgemini,5.06,Placed,2024
STU0110,Student 0110,ECE,8.43,"Python, AWS, SQL",Oracle,8.89,Placed,2024
STU0111,Student 0111,ISE,6.57,"AutoCAD, React, Python, Data Analysis",L&T,6.55,Placed,2022
STU0112,Student 0112,ISE,7.56,AutoCAD,L&T,4.86,Placed,2026
STU0113,Student 0113,ECE,7.1,"Java, AutoCAD, JavaScript",Not Placed,0.0,Not Placed,2022
STU0114,Student 0114,CIVIL,8.01,Excel,IBM,8.24,Placed,2023
STU0115,Student 0115,CSE,6.68,Python,Not Placed,0.0,Not Placed,2024
STU0116,Student 0116,ME,5.56,"Java, C++",Not Placed,0.0,Not Placed,2025
STU0117,Student 0117,ME,9.99,"Excel, AutoCAD",Tech Mahindra,6.47,Placed,2024
STU0118,Student 0118,CSE,9.37,SQL,Not Placed,0.0,Not Placed,2023
STU0119,Student 0119,CIVIL,5.52,"AutoCAD, Data Analysis, JavaScript",Not Placed,0.0,Not Placed,2025
STU0120,Student 0120,CSE,9.84,"Excel, Python, Machine Learning, AWS",Wipro,5.37,Placed,2025
STU0121,Student 0121,ME,7.0,"SQL, C++",Not Placed,0.0,Not Placed,2022
STU0122,Student 0122,CSE,7.05,"JavaScript, Python",Capgemini,5.02,Placed,2022
STU0123,Student 0123,ISE,8.24,AutoCAD,Not Placed,0.0,Not Placed,2025
STU0124,Student 0124,ISE,8.26,"C++, AWS",Bosch,7.02,Placed,2026
STU0125,Student 0125,CIVIL,9.78,"SQL, Java",Wipro,6.15,Placed,2026
STU0126,Student 0126,EEE,7.91,"React, Python",Accenture,8.29,Placed,2026
STU0127,Student 0127,ECE,9.9,"React, AWS",Deloitte,8.18,Placed,2025
STU0128,Student 0128,ISE,7.67,"JavaScript, Excel",Not Placed,0.0,Not Placed,2025
STU0129,Student 0129,CIVIL,5.88,"React, SQL, JavaScript, Python",Not Placed,0.0,Not Placed,2023
STU0130,Student 0130,ME,9.77,"React, Java, C++",TCS,5.53,Placed,2025
STU0131,Student 0131,EEE,6.87,"AWS, JavaScript, C++",Not Placed,0.0,Not Placed,2023
STU0132,Student 0132,CIVIL,6.87,"AutoCAD, Python",Not Placed,0.0,Not Placed,2022
STU0133,Student 0133,ECE,5.98,"Data Analysis, AWS, Machine Learning",Deloitte,13.57,Placed,2022
STU0134,Student 0134,ECE,7.33,"AWS, Excel, React",Not Placed,0.0,Not Placed,2024
STU0135,Student 0135,ME,9.93,Excel,Microsoft,33.49,Placed,2023
STU0136,Student 0136,ISE,6.1,"Python, Machine Learning, AWS, React",Not Placed,0.0,Not Placed,2026
STU0137,Student 0137,CSE,6.07,Machine Learning,L&T,5.08,Placed,2024
STU0138,Student 0138,ECE,8.09,Java,Not Placed,0.0,Not Placed,2025
STU0139,Student 0139,CIVIL,6.0,"Python, SQL, JavaScript",Not Placed,0.0,Not Placed,2023
STU0140,Student 0140,EEE,8.12,"Data Analysis, AutoCAD, AWS",Not Placed,0.0,Not Placed,2024
STU0141,Student 0141,ECE,6.95,"React, JavaScript, AutoCAD, Machine Learning",Oracle,14.22,Placed,2025
STU0142,Student 0142,ECE,9.77,"SQL, Python",Accenture,6.5,Placed,2026
STU0143,Student 0143,ECE,6.9,"React, AutoCAD, SQL, Excel",Not Placed,0.0,Not Placed,2023
STU0144,Student 0144,CIVIL,8.22,Data Analysis,Not Placed,0.0,Not Placed,2026
STU0145,Student 0145,EEE,9.08,"C++, JavaScript, AutoCAD, React",Capgemini,8.22,Placed,2024
STU0146,Student 0146,EEE,6.1,"Machine Learning, JavaScript, AutoCAD, Java",IBM,11.1,Placed,2023
STU0147,Student 0147,CSE,6.18,"AWS, SQL, JavaScript, C++",Not Placed,0.0,Not Placed,2024
STU0148,Student 0148,CIVIL,9.6,"AutoCAD, JavaScript, Java",Accenture,9.0,Placed,2022
STU0149,Student 0149,ECE,9.78,"Excel, JavaScript, SQL, Machine Learning",Infosys,6.55,Placed,2026
STU0150,Student 0150,CSE,9.33,"Java, JavaScript, Python",Amazon,15.17,Placed,2026
STU0151,Student 0151,ME,9.72,"React, AutoCAD",Bosch,6.21,Placed,2023
STU0152,Student 0152,CIVIL,7.03,JavaScript,Not Placed,0.0,Not Placed,2024
STU0153,Student 0153,CIVIL,6.36,AutoCAD,Not Placed,0.0,Not Placed,2024
STU0154,Student 0154,EEE,6.19,"React, Data Analysis, Python",Infosys,5.86,Placed,2022
STU0155,Student 0155,ECE,8.37,"SQL, C++, React",Deloitte,11.22,Placed,2026
STU0156,Student 0156,CIVIL,7.83,"React, C++, SQL, AWS",L&T,6.74,Placed,2022
STU0157,Student 0157,ME,5.53,"Machine Learning, JavaScript",Not Placed,0.0,Not Placed,2026
STU0158,Student 0158,ME,9.19,"React, Java, Data Analysis, Machine Learning",Bosch,9.09,Placed,2025
STU0159,Student 0159,CSE,9.54,JavaScript,IBM,9.66,Placed,2026
STU0160,Student 0160,CSE,5.56,React,Not Placed,0.0,Not Placed,2025
STU0161,Student 0161,ECE,7.29,"Java, AutoCAD",Not Placed,0.0,Not Placed,2025
STU0162,Student 0162,ECE,6.0,"Java, C++, React, AWS",Google,20.77,Placed,2022
STU0163,Student 0163,CSE,7.14,"AWS, Data Analysis, Machine Learning, Excel",Deloitte,13.35,Placed,2026
STU0164,Student 0164,ME,7.08,"AutoCAD, AWS",Oracle,8.23,Placed,2025
STU0165,Student 0165,CSE,7.72,"Java, Machine Learning",Microsoft,21.58,Placed,2025
STU0166,Student 0166,ECE,6.88,"AutoCAD, Java, C++, JavaScript",Not Placed,0.0,Not Placed,2024
STU0167,Student 0167,ECE,8.5,"React, Java, SQL",Not Placed,0.0,Not Placed,2026
STU0168,Student 0168,CIVIL,8.4,Excel,Not Placed,0.0,Not Placed,2022
STU0169,Student 0169,CSE,7.15,SQL,L&T,8.37,Placed,2025
STU0170,Student 0170,ME,8.75,"React, AWS, Data Analysis",Not Placed,0.0,Not Placed,2023
STU0171,Student 0171,ISE,7.07,"Machine Learning, React, SQL",Deloitte,9.73,Placed,2026
STU0172,Student 0172,ME,8.89,"React, Data Analysis, C++, JavaScript",TCS,5.36,Placed,2024
STU0173,Student 0173,ME,6.75,"AutoCAD, Java, Python, Machine Learning",Deloitte,13.75,Placed,2024
STU0174,Student 0174,ECE,7.95,"AutoCAD, Java, SQL",IBM,11.54,Placed,2023
STU0175,Student 0175,CIVIL,8.9,"JavaScript, React, Data Analysis",Accenture,8.47,Placed,2024
STU0176,Student 0176,ME,9.46,"Data Analysis, Java, AutoCAD",Amazon,14.19,Placed,2022
STU0177,Student 0177,CIVIL,7.3,"Data Analysis, JavaScript",Not Placed,0.0,Not Placed,2022
STU0178,Student 0178,ECE,9.93,"Java, AutoCAD, SQL",TCS,8.51,Placed,2026
STU0179,Student 0179,EEE,9.26,"JavaScript, Java",Amazon,19.27,Placed,2025
STU0180,Student 0180,CSE,7.51,"Python, AWS, JavaScript, React",Amazon,25.09,Placed,2023
STU0181,Student 0181,CSE,7.02,"Python, JavaScript, React, Data Analysis",Not Placed,0.0,Not Placed,2023
STU0182,Student 0182,ECE,7.11,"Excel, Java",Not Placed,0.0,Not Placed,2025
STU0183,Student 0183,ECE,8.29,"React, Excel, Machine Learning, C++",Not Placed,0.0,Not Placed,2025
STU0184,Student 0184,CIVIL,7.12,"AutoCAD, React, Python",Not Placed,0.0,Not Placed,2022
STU0185,Student 0185,CIVIL,7.06,"Java, Machine Learning, AWS, Python",Capgemini,5.21,Placed,2024
STU0186,Student 0186,CIVIL,9.65,"SQL, Machine Learning, React, JavaScript",Tech Mahindra,5.2,Placed,2023
STU0187,Student 0187,ME,8.4,"C++, Machine Learning, React",Not Placed,0.0,Not Placed,2026
STU0188,Student 0188,EEE,5.88,"Java, C++, JavaScript",Not Placed,0.0,Not Placed,2026
STU0189,Student 0189,ME,7.17,"Data Analysis, C++, Excel",Google,21.04,Placed,2022
STU0190,Student 0190,EEE,7.99,"AutoCAD, Excel, Python",Bosch,9.26,Placed,2022
STU0191,Student 0191,ME,5.98,"JavaScript, Machine Learning, AutoCAD, Data Analysis",Not Placed,0.0,Not Placed,2025
STU0192,Student 0192,CIVIL,6.08,C++,Not Placed,0.0,Not Placed,2022
STU0193,Student 0193,ME,6.78,"C++, Data Analysis",Accenture,6.49,Placed,2022
STU0194,Student 0194,ISE,9.42,"Python, React, SQL, Machine Learning",Cognizant,7.93,Placed,2025
STU0195,Student 0195,ISE,5.94,"React, Excel, SQL, AWS",Not Placed,0.0,Not Placed,2025
STU0196,Student 0196,EEE,9.59,"C++, SQL, Python, Machine Learning",Microsoft,21.74,Placed,2024
STU0197,Student 0197,CSE,5.88,"React, Excel",Not Placed,0.0,Not Placed,2024
STU0198,Student 0198,ISE,8.78,"Data Analysis, Python, JavaScript",Wipro,7.93,Placed,2024
STU0199,Student 0199,ECE,6.24,"Machine Learning, Python, JavaScript",Not Placed,0.0,Not Placed,2023
